GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US18097310103,18097310103,"Census Tract 3101.03, Marion County, Indiana",4422,274,38,40,0,16,0,16,0,16,0,16,0,16,11,18,0,16,0,16,0,16,10,17,0,16,35,42,16,24,28,31,453,160,44,52,140,78,656,195,216,92,1611,231,616,172,350,116,198,84
1400000US18097310104,18097310104,"Census Tract 3101.04, Marion County, Indiana",2838,187,32,39,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,11,19,18,22,20,26,0,11,0,11,547,185,0,11,143,89,404,149,282,165,916,232,335,125,62,45,68,77
1400000US18097310105,18097310105,"Census Tract 3101.05, Marion County, Indiana",2500,153,2,3,0,11,0,11,0,11,0,11,0,11,0,11,8,13,30,37,0,11,76,67,10,15,0,11,32,48,13,14,448,113,103,56,147,59,327,113,152,60,783,146,291,96,60,33,18,20
1400000US18097310106,18097310106,"Census Tract 3101.06, Marion County, Indiana",2733,319,9,22,0,11,0,11,0,11,0,11,48,76,0,11,0,11,10,17,0,11,3,7,77,89,39,37,19,20,68,51,628,262,138,112,135,89,723,197,68,47,422,134,216,93,99,62,31,32
1400000US18097310108,18097310108,"Census Tract 3101.08, Marion County, Indiana",2600,202,8,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,19,0,11,0,11,10,15,0,11,9,13,359,127,82,66,98,64,270,118,152,64,938,161,388,90,184,67,89,39
1400000US18097310110,18097310110,"Census Tract 3101.10, Marion County, Indiana",1907,221,14,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,43,56,0,11,5,11,0,11,230,111,46,56,73,49,402,187,244,101,490,127,261,99,85,48,14,17
1400000US18097310111,18097310111,"Census Tract 3101.11, Marion County, Indiana",2456,347,21,32,0,11,0,11,0,11,23,31,0,11,0,11,0,11,0,11,0,11,25,34,15,21,0,11,55,48,8,13,338,128,137,102,137,73,485,196,186,98,628,205,207,100,113,72,78,61
1400000US18097310201,18097310201,"Census Tract 3102.01, Marion County, Indiana",2379,233,13,21,12,20,0,11,0,11,0,11,0,11,0,11,0,11,36,42,0,11,23,32,56,76,22,21,45,44,22,27,471,162,75,54,81,40,365,112,171,72,690,193,220,67,40,33,37,31
1400000US18097310203,18097310203,"Census Tract 3102.03, Marion County, Indiana",3548,314,36,41,3,6,0,16,98,146,0,16,58,96,0,16,0,16,143,151,3,6,99,103,29,30,60,69,51,66,16,28,764,221,193,143,91,92,400,206,155,86,891,239,240,78,174,95,44,67
