GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",5010,357,90,67,0,17,0,17,0,17,0,17,56,73,0,17,0,17,44,70,0,17,62,80,0,17,24,29,0,17,171,116,666,252,260,127,254,115,735,183,396,122,1398,260,469,173,199,104,186,92
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",5880,347,159,118,0,17,0,17,0,17,0,17,20,33,0,17,0,17,58,72,3,10,0,17,18,27,52,48,73,111,116,73,666,172,140,80,338,144,645,186,492,174,1952,250,860,270,93,74,195,91
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",1916,200,15,21,0,12,0,12,0,12,0,12,1,2,0,12,0,12,0,12,0,12,0,12,16,18,51,46,47,47,61,42,359,160,45,35,146,65,263,84,278,120,428,128,148,66,32,40,26,23
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",4487,350,79,70,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,32,0,17,49,56,27,32,71,73,71,76,41,38,699,183,163,84,227,111,826,260,448,177,1194,268,391,135,77,70,104,74
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",4145,380,25,24,0,12,0,12,0,12,0,12,0,12,0,12,8,16,0,12,0,12,32,30,5,10,29,28,70,65,67,78,635,188,36,35,261,119,551,183,218,100,1530,249,457,186,167,95,54,50
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",2353,118,3,6,9,14,0,12,0,12,0,12,10,15,4,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,23,103,48,32,34,71,43,330,78,103,53,984,159,419,104,188,56,76,42
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",5791,389,12,18,0,17,0,17,0,17,0,17,6,13,15,22,14,20,69,33,0,17,14,21,0,17,19,26,0,17,234,122,949,272,259,154,341,143,865,208,329,149,1645,312,746,222,205,111,69,53
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",3359,366,44,60,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,22,0,12,49,80,0,12,89,68,416,156,87,74,166,76,371,170,373,142,1153,242,410,142,101,78,73,51
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1895,144,19,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,8,13,36,29,160,68,18,21,83,46,324,102,109,56,518,105,454,116,73,44,86,46
