GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US27053000101,27053000101,"Census Tract 1.01, Hennepin County, Minnesota",1111,60,59414,12451,62.8,7.9,63782,10325,20.5,6.4,58125,39360,1.7,2.1,(X),(X),7.6,3.0,57500,37693,0.0,1.6,-,**,1.1,1.8,-,**,6.3,5.5,26563,19251,5.0,3.5,(X),(X),59.9,8.4,63429,10251,0.0,1.6,-,**,44.3,5.7,59091,35775,36.8,6.2,63875,15898,18.9,4.9,42328,20518,720,104,68750,19784,45.1,9.7,44896,29258,54.9,9.7,71458,13881,54.7,10.7,78017,15149,35.8,9.7,43276,8271,9.4,6.3,80750,17212,391,96,45625,12182,35.5,14.3,(X),(X),34.5,14.1,(X),(X),1.0,2.0,(X),(X),64.5,14.3,(X),(X),52.9,15.5,(X),(X),11.5,9.3,(X),(X),24.8,(X),(X),(X),34.3,(X),(X),(X),7.2,(X),(X),(X)
1400000US27053000102,27053000102,"Census Tract 1.02, Hennepin County, Minnesota",1783,100,43438,3688,58.0,4.9,44491,3127,28.6,5.0,38158,12546,0.8,1.2,-,**,7.3,2.0,37273,14515,0.0,1.0,-,**,0.0,1.0,-,**,5.3,3.2,60114,29044,2.6,3.4,-,**,56.3,5.6,44942,4305,0.9,1.0,-,**,43.2,5.2,52306,21273,41.7,5.5,40625,3800,14.1,2.8,30192,6011,1109,116,45485,5723,52.0,7.1,44543,10504,48.0,7.1,46288,11332,47.8,8.7,62955,19095,38.4,9.1,36011,5529,13.8,6.9,31625,25684,674,115,38625,4236,48.5,11.4,(X),(X),37.4,10.7,(X),(X),11.1,6.5,(X),(X),51.5,11.4,(X),(X),35.2,12.3,(X),(X),16.3,9.3,(X),(X),20.7,(X),(X),(X),21.6,(X),(X),(X),18.7,(X),(X),(X)
1400000US27053000300,27053000300,"Census Tract 3, Hennepin County, Minnesota",1352,70,65407,6571,73.5,7.0,77692,15264,19.5,5.2,(X),(X),1.0,1.1,-,**,2.2,2.4,-,**,0.0,1.3,-,**,1.9,3.1,-,**,1.8,1.7,(X),(X),0.8,1.4,-,**,73.5,7.0,77692,15264,0.0,1.3,-,**,50.0,4.9,64623,18521,38.1,4.9,78580,21467,11.9,2.5,41016,5052,780,86,83929,15731,43.3,8.9,88750,19803,56.7,8.9,80938,37236,73.6,9.8,95000,11026,15.9,7.8,42778,39178,10.5,8.2,90745,37099,572,96,42333,17521,56.8,10.7,(X),(X),35.8,9.0,(X),(X),21.0,11.5,(X),(X),43.2,10.7,(X),(X),25.2,10.9,(X),(X),18.0,7.7,(X),(X),18.8,(X),(X),(X),16.3,(X),(X),(X),22.2,(X),(X),(X)
1400000US27053000601,27053000601,"Census Tract 6.01, Hennepin County, Minnesota",1997,85,80737,12211,86.6,6.4,82105,7009,4.2,4.1,11569,10247,2.2,3.3,-,**,5.7,4.3,100043,98616,0.0,0.9,-,**,0.6,0.9,-,**,0.8,1.0,-,**,7.0,5.0,(X),(X),82.3,6.6,85381,7799,3.4,2.9,50647,13012,52.3,6.1,86327,7212,34.6,6.7,68500,18437,9.8,3.9,59028,26432,1147,130,86088,12602,46.6,9.4,63663,24152,53.4,9.4,99728,15631,76.3,7.8,(X),(X),16.6,7.9,(X),(X),7.1,3.9,(X),(X),850,133,52069,16488,46.1,10.6,(X),(X),28.4,8.0,(X),(X),17.8,9.7,(X),(X),53.9,10.6,(X),(X),35.8,11.2,(X),(X),18.1,11.0,(X),(X),23.8,(X),(X),(X),22.4,(X),(X),(X),23.9,(X),(X),(X)
1400000US27053000603,27053000603,"Census Tract 6.03, Hennepin County, Minnesota",1226,67,67019,10662,96.4,3.0,66731,10013,0.0,1.4,-,**,0.9,1.4,-,**,0.0,1.4,-,**,0.0,1.4,-,**,0.0,1.4,-,**,2.7,2.5,127574,122013,1.0,1.5,-,**,95.4,2.9,66154,9483,0.0,1.4,-,**,46.7,4.4,75867,5480,34.8,3.7,72656,20182,18.5,3.0,29083,14647,721,69,80139,10821,39.0,7.9,89792,19821,61.0,7.9,77308,4649,80.4,6.2,89800,14799,14.0,6.3,56313,12884,5.5,4.6,63654,8201,505,82,53149,5853,58.6,9.1,53357,4712,48.7,9.2,50833,11800,9.9,5.2,64773,48935,41.4,9.1,52721,23704,35.2,8.9,37143,29637,6.1,5.4,60536,28241,11.5,(X),(X),(X),8.5,(X),(X),(X),15.8,(X),(X),(X)
1400000US27053001100,27053001100,"Census Tract 11, Hennepin County, Minnesota",851,54,60764,9502,87.8,6.0,63750,8802,2.5,1.6,(X),(X),0.0,2.0,-,**,0.5,0.7,-,**,0.0,2.0,-,**,5.8,4.3,(X),(X),3.5,2.8,(X),(X),5.9,4.1,63125,43992,85.9,6.1,63935,13179,3.3,2.1,78750,30128,50.8,5.6,75385,19373,36.1,5.4,50903,9237,9.9,2.3,24000,17372,437,60,78594,12168,57.4,7.6,80170,12154,42.6,7.6,69000,24226,68.9,9.0,(X),(X),23.1,8.0,(X),(X),8.0,7.3,(X),(X),414,65,44500,12581,44.4,10.9,(X),(X),21.0,8.8,(X),(X),23.4,9.5,(X),(X),55.6,10.9,(X),(X),37.4,10.7,(X),(X),18.1,9.1,(X),(X),23.6,(X),(X),(X),24.3,(X),(X),(X),22.0,(X),(X),(X)
1400000US27053001700,27053001700,"Census Tract 17, Hennepin County, Minnesota",938,76,50900,9900,75.6,6.9,59491,10907,19.6,7.1,21389,8758,0.0,1.8,-,**,2.1,1.7,(X),(X),0.0,1.8,-,**,0.7,1.2,-,**,1.9,1.7,56250,11565,5.9,3.6,59205,34990,69.7,7.2,59688,13229,6.8,3.4,32708,23837,62.5,6.4,56500,10786,20.9,4.0,60000,10592,9.8,3.8,32500,11075,440,85,52143,19907,53.0,9.5,24280,22928,47.0,9.5,69063,15517,64.1,10.0,(X),(X),30.2,10.1,(X),(X),5.7,4.7,(X),(X),498,89,47317,11581,50.8,11.1,(X),(X),31.1,9.9,(X),(X),19.7,8.7,(X),(X),49.2,11.1,(X),(X),20.7,9.9,(X),(X),28.5,10.7,(X),(X),23.7,(X),(X),(X),19.1,(X),(X),(X),26.5,(X),(X),(X)
1400000US27053002200,27053002200,"Census Tract 22, Hennepin County, Minnesota",389,45,26750,4752,24.7,8.2,27969,18327,44.0,9.9,20972,14421,1.3,1.8,-,**,15.4,5.5,26667,8644,0.0,4.4,-,**,3.3,4.1,-,**,11.3,9.2,33409,20087,9.5,7.1,(X),(X),21.3,8.2,24271,5670,6.7,6.6,16167,10888,53.0,9.6,30000,6625,29.0,8.5,23021,13269,11.3,6.3,25500,12717,296,47,29583,8835,66.6,13.3,30813,9389,33.4,13.3,26750,24765,31.4,11.9,(X),(X),51.0,13.6,(X),(X),17.6,12.7,(X),(X),93,39,17417,12630,39.8,21.7,24271,4027,39.8,21.7,24271,4027,0.0,17.1,-,**,60.2,21.7,16000,5615,60.2,21.7,16000,5615,0.0,17.1,-,**,35.0,(X),(X),(X),34.5,(X),(X),(X),36.6,(X),(X),(X)
1400000US27053002400,27053002400,"Census Tract 24, Hennepin County, Minnesota",1154,60,41768,4578,79.3,6.4,47760,11534,13.1,5.2,(X),(X),3.5,4.5,-,**,2.1,1.7,(X),(X),0.0,1.5,-,**,0.0,1.5,-,**,2.1,3.4,-,**,4.3,3.1,(X),(X),75.0,6.4,48594,12408,11.1,6.5,29479,16396,47.8,7.9,43261,5360,27.6,5.9,55476,27032,13.5,4.0,32955,17397,482,88,59815,13032,56.0,9.2,28958,26810,44.0,9.2,91667,26171,51.7,12.7,(X),(X),37.8,12.6,(X),(X),10.6,7.2,(X),(X),672,84,37683,8003,42.1,10.4,(X),(X),29.3,10.4,(X),(X),12.8,8.6,(X),(X),57.9,10.4,(X),(X),38.7,10.2,(X),(X),19.2,7.5,(X),(X),24.2,(X),(X),(X),27.4,(X),(X),(X),21.9,(X),(X),(X)
